0 [main] INFO ocpSystemManager  - Link(null) changed from null to DISCONNECTED
4 [main] WARN ocpLinkManager  - loadConfig link 0
4531 [Amazon-Profiler] DEBUG codegurushadow.org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
4535 [Amazon-Profiler] DEBUG codegurushadow.org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
4536 [Amazon-Profiler] DEBUG codegurushadow.org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {s}->https://codeguru-profiler.us-west-2.amazonaws.com:443][total available: 0; route allocated: 0 of 50; total allocated: 0 of 50]
4545 [Amazon-Profiler] DEBUG codegurushadow.org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {s}->https://codeguru-profiler.us-west-2.amazonaws.com:443][total available: 0; route allocated: 1 of 50; total allocated: 1 of 50]
4547 [Amazon-Profiler] DEBUG codegurushadow.org.apache.http.impl.execchain.MainClientExec  - Opening connection {s}->https://codeguru-profiler.us-west-2.amazonaws.com:443
4549 [Amazon-Profiler] DEBUG codegurushadow.org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to codeguru-profiler.us-west-2.amazonaws.com/52.85.193.2:443
4549 [Amazon-Profiler] DEBUG codegurushadow.software.amazon.awssdk.http.apache.internal.conn.SdkTlsSocketFactory  - Connecting socket to codeguru-profiler.us-west-2.amazonaws.com/52.85.193.2:443 with timeout 2000
4602 [Amazon-Profiler] DEBUG codegurushadow.software.amazon.awssdk.http.apache.internal.conn.SdkTlsSocketFactory  - Enabled protocols: [TLSv1.3, TLSv1.2]
4602 [Amazon-Profiler] DEBUG codegurushadow.software.amazon.awssdk.http.apache.internal.conn.SdkTlsSocketFactory  - Enabled cipher suites:[TLS_AES_256_GCM_SHA384, TLS_AES_128_GCM_SHA256, TLS_CHACHA20_POLY1305_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_RSA_WITH_AES_256_GCM_SHA384, TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256, TLS_DHE_DSS_WITH_AES_256_GCM_SHA384, TLS_DHE_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_DSS_WITH_AES_128_GCM_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_256_CBC_SHA256, TLS_DHE_DSS_WITH_AES_256_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_GCM_SHA384, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_256_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_EMPTY_RENEGOTIATION_INFO_SCSV]
4604 [Amazon-Profiler] DEBUG codegurushadow.software.amazon.awssdk.http.apache.internal.conn.SdkTlsSocketFactory  - Starting handshake
4663 [OCPSystemManager.SystemThread] INFO ocpLinkManager  - changeLinkState: changed from DISCONNECTED to CONNECTING
4788 [Amazon-Profiler] DEBUG codegurushadow.software.amazon.awssdk.http.apache.internal.conn.SdkTlsSocketFactory  - Secure session established
4788 [Amazon-Profiler] DEBUG codegurushadow.software.amazon.awssdk.http.apache.internal.conn.SdkTlsSocketFactory  -  negotiated protocol: TLSv1.3
